band_digits,family,sample_index,seed,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
25,semiprime_balanced,1,1729,64,"1,1","13,13",4,25,83,24.739234208973241166483368,5485727228036272,8036272644952801,1.822912365910636588249126e-25,24.739234208973241166483368,ok
25,semiprime_balanced,2,1729,64,"1,1","13,13",4,25,81,24.237341638172528846757205,1727196058161698,8161698082031979,5.789730675186506044203018e-25,24.237341638172528846757205,ok
25,semiprime_balanced,3,1729,64,"1,1","13,13",4,25,82,24.452130922884512439750998,2832245678964254,8964254089044881,3.530767148581890550073452e-25,24.452130922884512439750998,ok
25,prime_square,0,1729,64,"2","13",3,25,83,24.917886721387440904495637,8277262367019659,7019659862734209,3.475814889606925752820082e-13,12.458943360693720452247819,ok
25,prime_square,1,1729,64,"2","13",3,25,83,24.789605384715155067382243,6160349963529432,3529432655268881,4.029000373441432621773535e-13,12.394802692357577533691122,ok
25,prime_square,2,1729,64,"2","13",3,25,83,24.916356265056824130526615,8248144581093330,1093330036605689,3.481944684524805612780555e-13,12.458178132528412065263308,ok
25,prime_square,3,1729,64,"2","13",3,25,83,24.791426908339432262045366,6186242044814143,4814143438059649,4.020559983571940476121741e-13,12.395713454169716131022683,ok
25,prime_cube,0,1729,64,"3","9",4,25,83,24.726921201531321931336058,5332381358868464,8868464397643873,1.875334738271984362103081e-25,24.726921201531321931336058,ok
25,prime_cube,1,1729,64,"3","9",4,25,81,24.170931374630502681911544,1482283842442187,2442187118533317,6.746346221735885726252475e-25,24.170931374630502681911544,ok
25,prime_cube,2,1729,64,"3","9",4,25,83,24.811820645031009515229377,6483666157548223,7548223698955727,1.542337276011364838923453e-25,24.811820645031009515229377,ok
25,prime_cube,3,1729,64,"3","9",4,25,82,24.556256258790922119840450,3599616706498541,6498541649626623,2.778073560428412631219718e-25,24.556256258790922119840450,ok
25,squarefree_3,0,1729,64,"1,1,1","9,9,7",8,25,80,24.074860909433651058297287,1188121649313228,9313228580584653,5.962347328862028010848613e-73,72.224582728300953174891862,ok
25,squarefree_3,1,1729,64,"1,1,1","9,9,8",8,25,82,24.632769559838890826686308,4293085717224878,7224878448159911,1.263837741769947919421416e-74,73.898308679516672480058923,ok
25,squarefree_3,2,1729,64,"1,1,1","9,9,8",8,25,82,24.390188428363890520273635,2455774177067709,7067709763580657,6.752035467444568564734863e-74,73.170565285091671560820904,ok
25,squarefree_3,3,1729,64,"1,1,1","9,9,7",8,25,81,24.335433992100444630448830,2164880816652190,6652190636020181,9.855939381006539691043530e-74,73.006301976301333891346490,ok
25,squarefree_6,0,1729,64,"1,1,1,1,1,1","5,5,5,5,3,4",64,25,81,24.305307468540444486250405,2019795817464410,7464410639168573,3.431377310639126450136747e-754,753.464531524753779073762563,ok
25,squarefree_6,1,1729,64,"1,1,1,1,1,1","5,5,5,5,4,2",64,25,82,24.597951234855800131200214,3962335403201213,3201213390922659,2.907446416052134263295387e-763,762.536488280529804067206623,ok
25,squarefree_6,2,1729,64,"1,1,1,1,1,1","5,5,5,5,4,2",64,25,81,24.122699095275070605081589,1326475079422617,9422617456984941,1.571549433707760617542625e-748,747.803671953527188757529267,ok
25,squarefree_6,3,1729,64,"1,1,1,1,1,1","5,5,5,5,4,2",64,25,81,24.338297888898783780727681,2179204007545161,7545161095002349,3.256607690554530881271762e-755,754.487234555862297202558097,ok
25,smooth_4321,0,1729,64,"4,3,2,1","2,3,4,2",120,25,83,24.732707590964210603037363,5403903573936832,3936832080382261,5.891856124709300176556113e-1460,1459.229747866888425579204404,ok
25,smooth_4321,1,1729,64,"4,3,2,1","2,3,4,2",120,25,81,24.094748651993252725352682,1243794557109890,7109890269042847,2.569387058872271862038565e-1422,1421.590170467601910795808211,ok
25,smooth_4321,2,1729,64,"4,3,2,1","2,3,4,3",120,25,81,24.199328551448113058813290,1582444733950796,3950796070619393,1.736262816460284263324903e-1428,1427.760384535438670469984089,ok
25,smooth_4321,3,1729,64,"4,3,2,1","2,3,3,4",120,25,80,24.008945690999144232461109,1020811822088790,2088790255983399,2.966225957151357345585287e-1417,1416.527795768949509715205428,ok
26,probable_prime,0,1729,64,"1","26",2,26,86,25.853449672022979168068409,7135915061718388,7183885713796317,1,0.000000000000000000000000,ok
26,probable_prime,1,1729,64,"1","26",2,26,86,25.786603439320345705727302,6117915007793627,7936271795265661,1,0.000000000000000000000000,ok
26,probable_prime,2,1729,64,"1","26",2,26,86,25.606649804862752548875026,4042497917610132,6101327163901211,1,0.000000000000000000000000,ok
26,probable_prime,3,1729,64,"1","26",2,26,85,25.382252293770655728990483,2411305816649936,6499363787616861,1,0.000000000000000000000000,ok
26,semiprime_balanced,0,1729,64,"1,1","13,13",4,26,86,25.697826157509178087434657,4986848303841198,8411988934648559,2.005274552325431998505813e-26,25.697826157509178087434657,ok
26,semiprime_balanced,1,1729,64,"1,1","13,13",4,26,85,25.511443358210301989978748,3246708950033651,0336510670682469,3.080042022213402682534102e-26,25.511443358210301989978748,ok
26,semiprime_balanced,2,1729,64,"1,1","13,13",4,26,85,25.510998884193659892562719,3243387840444108,4441086111191663,3.083195871706396409135000e-26,25.510998884193659892562719,ok
26,semiprime_balanced,3,1729,64,"1,1","13,13",4,26,85,25.526621090563120250121919,3362181007557708,5577083131525363,2.974259856183058425304715e-26,25.526621090563120250121919,ok
26,prime_square,0,1729,64,"2","13",3,26,86,25.791272506163552412685057,6184043077294893,2948934342181521,1.271638730789844090148561e-13,12.895636253081776206342529,ok
