band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
12,semiprime_balanced,3,64,"1,1","6,6",4,12,37,11.000003908359145247024532,100000899937,100000899937,9.999910007109879315565384e-12,11.000003908359145247024532,ok
12,prime_square,0,64,"2","6",3,12,37,11.000036349278703017844617,100008370081,100008370081,3.162145325874886558036434e-6,5.500018174639351508922309,ok
12,prime_square,1,64,"2","6",3,12,37,11.000036349278703017844617,100008370081,100008370081,3.162145325874886558036434e-6,5.500018174639351508922309,ok
12,prime_square,2,64,"2","6",3,12,37,11.000036349278703017844617,100008370081,100008370081,3.162145325874886558036434e-6,5.500018174639351508922309,ok
12,prime_square,3,64,"2","6",3,12,37,11.000036349278703017844617,100008370081,100008370081,3.162145325874886558036434e-6,5.500018174639351508922309,ok
12,prime_cube,0,64,"3","4",4,12,37,11.000396050998522189097083,100091235707,100091235707,9.990884745666735801727472e-12,11.000396050998522189097083,ok
12,prime_cube,1,64,"3","4",4,12,37,11.000396050998522189097083,100091235707,100091235707,9.990884745666735801727472e-12,11.000396050998522189097083,ok
12,prime_cube,2,64,"3","4",4,12,37,11.000396050998522189097083,100091235707,100091235707,9.990884745666735801727472e-12,11.000396050998522189097083,ok
12,prime_cube,3,64,"3","4",4,12,37,11.000396050998522189097083,100091235707,100091235707,9.990884745666735801727472e-12,11.000396050998522189097083,ok
12,squarefree_3,0,64,"1,1,1","4,4,5",8,12,37,11.000021494426140631518371,100004949397,100004949397,9.998515327867060576173968e-34,33.000064483278421894555113,ok
12,squarefree_3,1,64,"1,1,1","4,4,5",8,12,37,11.000021494426140631518371,100004949397,100004949397,9.998515327867060576173968e-34,33.000064483278421894555113,ok
12,squarefree_3,2,64,"1,1,1","4,4,5",8,12,37,11.000021494426140631518371,100004949397,100004949397,9.998515327867060576173968e-34,33.000064483278421894555113,ok
12,squarefree_3,3,64,"1,1,1","4,4,5",8,12,37,11.000021494426140631518371,100004949397,100004949397,9.998515327867060576173968e-34,33.000064483278421894555113,ok
12,squarefree_6,0,64,"1,1,1,1,1,1","2,2,2,2,2,5",64,12,37,11.000091332935166876608664,100021032397,100021032397,9.935018473998779497491166e-342,341.002831320990173174868596,ok
12,squarefree_6,1,64,"1,1,1,1,1,1","2,2,2,2,2,5",64,12,37,11.000091332935166876608664,100021032397,100021032397,9.935018473998779497491166e-342,341.002831320990173174868596,ok
12,squarefree_6,2,64,"1,1,1,1,1,1","2,2,2,2,2,5",64,12,37,11.000091332935166876608664,100021032397,100021032397,9.935018473998779497491166e-342,341.002831320990173174868596,ok
12,squarefree_6,3,64,"1,1,1,1,1,1","2,2,2,2,2,5",64,12,37,11.000091332935166876608664,100021032397,100021032397,9.935018473998779497491166e-342,341.002831320990173174868596,ok
12,smooth_4321,0,64,"4,3,2,1","1,1,2,7",120,12,37,11.000002475610465203524403,100000570032,100000570032,9.996637386270915115236660e-650,649.000146061017447007939751,ok
12,smooth_4321,1,64,"4,3,2,1","1,1,2,7",120,12,37,11.000002475610465203524403,100000570032,100000570032,9.996637386270915115236660e-650,649.000146061017447007939751,ok
12,smooth_4321,2,64,"4,3,2,1","1,1,2,7",120,12,37,11.000002475610465203524403,100000570032,100000570032,9.996637386270915115236660e-650,649.000146061017447007939751,ok
12,smooth_4321,3,64,"4,3,2,1","1,1,2,7",120,12,37,11.000002475610465203524403,100000570032,100000570032,9.996637386270915115236660e-650,649.000146061017447007939751,ok
13,probable_prime,0,64,"1","13",2,13,40,12.000000000016937484793897,1000000000039,1000000000039,1,0.000000000000000000000000,ok
13,probable_prime,1,64,"1","13",2,13,40,12.000000000016937484793897,1000000000039,1000000000039,1,0.000000000000000000000000,ok
13,probable_prime,2,64,"1","13",2,13,40,12.000000000016937484793897,1000000000039,1000000000039,1,0.000000000000000000000000,ok
13,probable_prime,3,64,"1","13",2,13,40,12.000000000016937484793897,1000000000039,1000000000039,1,0.000000000000000000000000,ok
13,semiprime_balanced,0,64,"1,1","7,7",4,13,40,12.000015634362926052694394,1000036000099,1000036000099,9.999640011969604733044620e-13,12.000015634362926052694394,ok
13,semiprime_balanced,1,64,"1,1","7,7",4,13,40,12.000015634362926052694394,1000036000099,1000036000099,9.999640011969604733044620e-13,12.000015634362926052694394,ok
13,semiprime_balanced,2,64,"1,1","7,7",4,13,40,12.000015634362926052694394,1000036000099,1000036000099,9.999640011969604733044620e-13,12.000015634362926052694394,ok
13,semiprime_balanced,3,64,"1,1","7,7",4,13,40,12.000015634362926052694394,1000036000099,1000036000099,9.999640011969604733044620e-13,12.000015634362926052694394,ok
13,prime_square,0,64,"2","7",3,13,40,12.000002605762982776991120,1000006000009,1000006000009,9.999970000089999730000810e-7,6.000001302881491388495560,ok
13,prime_square,1,64,"2","7",3,13,40,12.000002605762982776991120,1000006000009,1000006000009,9.999970000089999730000810e-7,6.000001302881491388495560,ok
13,prime_square,2,64,"2","7",3,13,40,12.000002605762982776991120,1000006000009,1000006000009,9.999970000089999730000810e-7,6.000001302881491388495560,ok
13,prime_square,3,64,"2","7",3,13,40,12.000002605762982776991120,1000006000009,1000006000009,9.999970000089999730000810e-7,6.000001302881491388495560,ok
13,prime_cube,0,64,"3","5",4,13,40,12.000911699354437475431553,1002101470343,1002101470343,9.979029365735979738212098e-13,12.000911699354437475431553,ok
13,prime_cube,1,64,"3","5",4,13,40,12.000911699354437475431553,1002101470343,1002101470343,9.979029365735979738212098e-13,12.000911699354437475431553,ok
13,prime_cube,2,64,"3","5",4,13,40,12.000911699354437475431553,1002101470343,1002101470343,9.979029365735979738212098e-13,12.000911699354437475431553,ok
13,prime_cube,3,64,"3","5",4,13,40,12.000911699354437475431553,1002101470343,1002101470343,9.979029365735979738212098e-13,12.000911699354437475431553,ok
13,squarefree_3,0,64,"1,1,1","5,5,5",8,13,40,12.002298513184520425881642,1005306552331,1005306552331,9.842478175009866840593281e-37,36.006895539553561277644925,ok
13,squarefree_3,1,64,"1,1,1","5,5,5",8,13,40,12.002298513184520425881642,1005306552331,1005306552331,9.842478175009866840593281e-37,36.006895539553561277644925,ok
13,squarefree_3,2,64,"1,1,1","5,5,5",8,13,40,12.002298513184520425881642,1005306552331,1005306552331,9.842478175009866840593281e-37,36.006895539553561277644925,ok
13,squarefree_3,3,64,"1,1,1","5,5,5",8,13,40,12.002298513184520425881642,1005306552331,1005306552331,9.842478175009866840593281e-37,36.006895539553561277644925,ok
13,squarefree_6,0,64,"1,1,1,1,1,1","3,3,3,3,3,2",64,13,40,12.000370177717523679350928,1000852729061,1000852729061,9.739227052793944351007707e-373,372.011475509243234059878763,ok
13,squarefree_6,1,64,"1,1,1,1,1,1","3,3,3,3,3,2",64,13,40,12.000370177717523679350928,1000852729061,1000852729061,9.739227052793944351007707e-373,372.011475509243234059878763,ok
13,squarefree_6,2,64,"1,1,1,1,1,1","3,3,3,3,3,2",64,13,40,12.000370177717523679350928,1000852729061,1000852729061,9.739227052793944351007707e-373,372.011475509243234059878763,ok
13,squarefree_6,3,64,"1,1,1,1,1,1","3,3,3,3,3,2",64,13,40,12.000370177717523679350928,1000852729061,1000852729061,9.739227052793944351007707e-373,372.011475509243234059878763,ok
13,smooth_4321,0,64,"4,3,2,1","1,2,2,6",120,13,40,12.000009211121510257136044,1000021209616,1000021209616,9.987494285433539276765534e-709,708.000543456169105171026612,ok
13,smooth_4321,1,64,"4,3,2,1","1,2,2,6",120,13,40,12.000009211121510257136044,1000021209616,1000021209616,9.987494285433539276765534e-709,708.000543456169105171026612,ok
13,smooth_4321,2,64,"4,3,2,1","1,2,2,6",120,13,40,12.000009211121510257136044,1000021209616,1000021209616,9.987494285433539276765534e-709,708.000543456169105171026612,ok
